Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 473,358
Topli start iz: /home/tomi/code/dipl/custom_models/student_0_5_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=25  val_mAP=0.0629
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   4950 | epoch   6/100 | loss 0.8560 | feat 0.1734 | cls 0.2900 | box 0.3926 | lr 4.98e-04
  iter   5000 | epoch   6/100 | loss 0.8560 | feat 0.1734 | cls 0.2902 | box 0.3924 | lr 4.98e-04
  iter   5050 | epoch   6/100 | loss 0.8543 | feat 0.1733 | cls 0.2893 | box 0.3916 | lr 4.98e-04
  iter   5100 | epoch   6/100 | loss 0.8560 | feat 0.1733 | cls 0.2904 | box 0.3923 | lr 4.98e-04
  iter   5150 | epoch   6/100 | loss 0.8560 | feat 0.1733 | cls 0.2904 | box 0.3923 | lr 4.98e-04
  iter   5200 | epoch   6/100 | loss 0.8562 | feat 0.1733 | cls 0.2905 | box 0.3924 | lr 4.98e-04
  iter   5250 | epoch   6/100 | loss 0.8566 | feat 0.1733 | cls 0.2907 | box 0.3925 | lr 4.98e-04
  iter   5300 | epoch   6/100 | loss 0.8569 | feat 0.1733 | cls 0.2910 | box 0.3926 | lr 4.98e-04
  iter   5350 | epoch   6/100 | loss 0.8569 | feat 0.1733 | cls 0.2911 | box 0.3926 | lr 4.98e-04
  iter   5400 | epoch   6/100 | loss 0.8570 | feat 0.1732 | cls 0.2911 | box 0.3926 | lr 4.98e-04
[epoch   6] train_loss=0.8573 feat=0.1732 cls=0.2912 box=0.3928 (169.1s)
  iter   5450 | epoch   7/100 | loss 0.8445 | feat 0.1724 | cls 0.2852 | box 0.3869 | lr 4.98e-04
  iter   5500 | epoch   7/100 | loss 0.8474 | feat 0.1727 | cls 0.2875 | box 0.3872 | lr 4.98e-04
  iter   5550 | epoch   7/100 | loss 0.8435 | feat 0.1728 | cls 0.2848 | box 0.3858 | lr 4.98e-04
