Device: cuda
Train rootovi: sub10k_open_images_v7, sub10k_open_images_v7_part2
Val root:      sub10k_open_images_v7  (nepromijenjen -> mAP usporediv s KD_featlogit)
Train: 14485    Val: 837
Model parameters: 1,060,310
Topli start iz: /home/tomi/code/dipl/custom_models/student_1_m/KD_featlogit/checkpoints/best.pt
  prethodna epoha=22  val_mAP=0.1191
  optimizer/scheduler NE nastavljaju se; LR krece od 5.00e-04
Iteracija/epoha: 905  (part1-only run je imao ~366)
  iter   5050 | epoch   6/100 | loss 0.7217 | feat 0.1637 | cls 0.2289 | box 0.3291 | lr 4.98e-04
  iter   5100 | epoch   6/100 | loss 0.7223 | feat 0.1638 | cls 0.2292 | box 0.3292 | lr 4.98e-04
  iter   5150 | epoch   6/100 | loss 0.7232 | feat 0.1638 | cls 0.2296 | box 0.3297 | lr 4.98e-04
  iter   5200 | epoch   6/100 | loss 0.7239 | feat 0.1637 | cls 0.2301 | box 0.3300 | lr 4.98e-04
  iter   5250 | epoch   6/100 | loss 0.7236 | feat 0.1637 | cls 0.2300 | box 0.3300 | lr 4.98e-04
  iter   5300 | epoch   6/100 | loss 0.7250 | feat 0.1637 | cls 0.2309 | box 0.3305 | lr 4.98e-04
  iter   5350 | epoch   6/100 | loss 0.7252 | feat 0.1637 | cls 0.2310 | box 0.3306 | lr 4.98e-04
  iter   5400 | epoch   6/100 | loss 0.7259 | feat 0.1636 | cls 0.2314 | box 0.3309 | lr 4.98e-04
[epoch   6] train_loss=0.7260 feat=0.1636 cls=0.2315 box=0.3309 (169.7s)
  iter   5450 | epoch   7/100 | loss 0.7069 | feat 0.1630 | cls 0.2214 | box 0.3225 | lr 4.98e-04
  iter   5500 | epoch   7/100 | loss 0.7136 | feat 0.1648 | cls 0.2239 | box 0.3249 | lr 4.98e-04
  iter   5550 | epoch   7/100 | loss 0.7176 | feat 0.1648 | cls 0.2252 | box 0.3275 | lr 4.98e-04
  iter   5600 | epoch   7/100 | loss 0.7161 | feat 0.1647 | cls 0.2243 | box 0.3272 | lr 4.98e-04
  iter   5650 | epoch   7/100 | loss 0.7154 | feat 0.1644 | cls 0.2247 | box 0.3263 | lr 4.98e-04
  iter   5700 | epoch   7/100 | loss 0.7160 | feat 0.1642 | cls 0.2253 | box 0.3265 | lr 4.98e-04
  iter   5750 | epoch   7/100 | loss 0.7158 | feat 0.1640 | cls 0.2252 | box 0.3265 | lr 4.98e-04
  iter   5800 | epoch   7/100 | loss 0.7156 | feat 0.1641 | cls 0.2250 | box 0.3265 | lr 4.98e-04
  iter   5850 | epoch   7/100 | loss 0.7174 | feat 0.1641 | cls 0.2260 | box 0.3273 | lr 4.97e-04
  iter   5900 | epoch   7/100 | loss 0.7175 | feat 0.1640 | cls 0.2260 | box 0.3276 | lr 4.97e-04
  iter   5950 | epoch   7/100 | loss 0.7166 | feat 0.1639 | cls 0.2254 | box 0.3274 | lr 4.97e-04
  iter   6000 | epoch   7/100 | loss 0.7160 | feat 0.1637 | cls 0.2252 | box 0.3270 | lr 4.97e-04
  iter   6050 | epoch   7/100 | loss 0.7162 | feat 0.1637 | cls 0.2255 | box 0.3270 | lr 4.97e-04
  iter   6100 | epoch   7/100 | loss 0.7153 | feat 0.1636 | cls 0.2252 | box 0.3265 | lr 4.97e-04
  iter   6150 | epoch   7/100 | loss 0.7148 | feat 0.1635 | cls 0.2249 | box 0.3264 | lr 4.97e-04
  iter   6200 | epoch   7/100 | loss 0.7150 | feat 0.1635 | cls 0.2251 | box 0.3264 | lr 4.97e-04
  iter   6250 | epoch   7/100 | loss 0.7153 | feat 0.1635 | cls 0.2253 | box 0.3266 | lr 4.97e-04
  iter   6300 | epoch   7/100 | loss 0.7152 | feat 0.1634 | cls 0.2253 | box 0.3264 | lr 4.97e-04
[epoch   7] train_loss=0.7151 feat=0.1634 cls=0.2253 box=0.3263 (168.3s)
[epoch   7] validating...
[epoch   7] val_resp=0.6654 (cls=0.2902 box=0.3752) | val_mAP@50:95=0.1574 mAP@50=0.3661 (47.0s)
[epoch   7] new best (val_mAP@50:95 = 0.1574)
  iter   6350 | epoch   8/100 | loss 0.6923 | feat 0.1651 | cls 0.2102 | box 0.3171 | lr 4.97e-04
  iter   6400 | epoch   8/100 | loss 0.6940 | feat 0.1635 | cls 0.2137 | box 0.3168 | lr 4.97e-04
  iter   6450 | epoch   8/100 | loss 0.6984 | feat 0.1634 | cls 0.2165 | box 0.3185 | lr 4.97e-04
  iter   6500 | epoch   8/100 | loss 0.6942 | feat 0.1632 | cls 0.2143 | box 0.3167 | lr 4.97e-04
  iter   6550 | epoch   8/100 | loss 0.6933 | feat 0.1633 | cls 0.2137 | box 0.3163 | lr 4.96e-04
  iter   6600 | epoch   8/100 | loss 0.6955 | feat 0.1632 | cls 0.2148 | box 0.3175 | lr 4.96e-04
  iter   6650 | epoch   8/100 | loss 0.6969 | feat 0.1633 | cls 0.2152 | box 0.3184 | lr 4.96e-04
  iter   6700 | epoch   8/100 | loss 0.6982 | feat 0.1633 | cls 0.2158 | box 0.3191 | lr 4.96e-04
  iter   6750 | epoch   8/100 | loss 0.6981 | feat 0.1631 | cls 0.2159 | box 0.3190 | lr 4.96e-04
  iter   6800 | epoch   8/100 | loss 0.6985 | feat 0.1631 | cls 0.2163 | box 0.3191 | lr 4.96e-04
  iter   6850 | epoch   8/100 | loss 0.6984 | feat 0.1630 | cls 0.2162 | box 0.3192 | lr 4.96e-04
  iter   6900 | epoch   8/100 | loss 0.6985 | feat 0.1629 | cls 0.2163 | box 0.3193 | lr 4.96e-04
  iter   6950 | epoch   8/100 | loss 0.6996 | feat 0.1629 | cls 0.2169 | box 0.3197 | lr 4.96e-04
  iter   7000 | epoch   8/100 | loss 0.6995 | feat 0.1629 | cls 0.2171 | box 0.3195 | lr 4.96e-04
  iter   7050 | epoch   8/100 | loss 0.6995 | feat 0.1628 | cls 0.2171 | box 0.3196 | lr 4.96e-04
  iter   7100 | epoch   8/100 | loss 0.7001 | feat 0.1628 | cls 0.2174 | box 0.3199 | lr 4.96e-04
  iter   7150 | epoch   8/100 | loss 0.7001 | feat 0.1628 | cls 0.2175 | box 0.3199 | lr 4.96e-04
  iter   7200 | epoch   8/100 | loss 0.7011 | feat 0.1628 | cls 0.2181 | box 0.3203 | lr 4.95e-04
[epoch   8] train_loss=0.7024 feat=0.1628 cls=0.2188 box=0.3208 (170.1s)
  iter   7250 | epoch   9/100 | loss 0.6942 | feat 0.1626 | cls 0.2106 | box 0.3210 | lr 4.95e-04
  iter   7300 | epoch   9/100 | loss 0.6842 | feat 0.1630 | cls 0.2079 | box 0.3133 | lr 4.95e-04
  iter   7350 | epoch   9/100 | loss 0.6844 | feat 0.1629 | cls 0.2090 | box 0.3126 | lr 4.95e-04
  iter   7400 | epoch   9/100 | loss 0.6850 | feat 0.1629 | cls 0.2095 | box 0.3126 | lr 4.95e-04
  iter   7450 | epoch   9/100 | loss 0.6862 | feat 0.1628 | cls 0.2099 | box 0.3135 | lr 4.95e-04
  iter   7500 | epoch   9/100 | loss 0.6877 | feat 0.1628 | cls 0.2104 | box 0.3144 | lr 4.95e-04
  iter   7550 | epoch   9/100 | loss 0.6867 | feat 0.1628 | cls 0.2100 | box 0.3139 | lr 4.95e-04
  iter   7600 | epoch   9/100 | loss 0.6860 | feat 0.1627 | cls 0.2098 | box 0.3136 | lr 4.95e-04
  iter   7650 | epoch   9/100 | loss 0.6863 | feat 0.1627 | cls 0.2100 | box 0.3136 | lr 4.95e-04
  iter   7700 | epoch   9/100 | loss 0.6867 | feat 0.1628 | cls 0.2098 | box 0.3141 | lr 4.95e-04
  iter   7750 | epoch   9/100 | loss 0.6893 | feat 0.1628 | cls 0.2113 | box 0.3152 | lr 4.94e-04
  iter   7800 | epoch   9/100 | loss 0.6890 | feat 0.1627 | cls 0.2111 | box 0.3152 | lr 4.94e-04
  iter   7850 | epoch   9/100 | loss 0.6898 | feat 0.1627 | cls 0.2116 | box 0.3156 | lr 4.94e-04
  iter   7900 | epoch   9/100 | loss 0.6904 | feat 0.1626 | cls 0.2118 | box 0.3159 | lr 4.94e-04
  iter   7950 | epoch   9/100 | loss 0.6906 | feat 0.1626 | cls 0.2121 | box 0.3159 | lr 4.94e-04
  iter   8000 | epoch   9/100 | loss 0.6914 | feat 0.1626 | cls 0.2126 | box 0.3162 | lr 4.94e-04
  iter   8050 | epoch   9/100 | loss 0.6924 | feat 0.1627 | cls 0.2130 | box 0.3167 | lr 4.94e-04
  iter   8100 | epoch   9/100 | loss 0.6930 | feat 0.1627 | cls 0.2133 | box 0.3170 | lr 4.94e-04
[epoch   9] train_loss=0.6932 feat=0.1628 cls=0.2133 box=0.3171 (167.8s)
  iter   8150 | epoch  10/100 | loss 0.6535 | feat 0.1602 | cls 0.1946 | box 0.2988 | lr 4.94e-04
  iter   8200 | epoch  10/100 | loss 0.6705 | feat 0.1619 | cls 0.2004 | box 0.3083 | lr 4.94e-04
  iter   8250 | epoch  10/100 | loss 0.6679 | feat 0.1621 | cls 0.1987 | box 0.3071 | lr 4.94e-04
  iter   8300 | epoch  10/100 | loss 0.6717 | feat 0.1625 | cls 0.2011 | box 0.3081 | lr 4.93e-04
  iter   8350 | epoch  10/100 | loss 0.6716 | feat 0.1624 | cls 0.2011 | box 0.3080 | lr 4.93e-04
  iter   8400 | epoch  10/100 | loss 0.6728 | feat 0.1625 | cls 0.2019 | box 0.3084 | lr 4.93e-04
